"id","manz_ccnct","cod_barr","barrio","zona","y_pred24","y_pred24_red","y_pred23","y_pred23_red","y_pred22","y_pred22_red","y_pred21","y_pred21_red","y_pred20","y_pred20_red","y_pred19","y_pred19_red","y_pred18","y_pred18_red","n2017","n2016","n2015","n2014","n2013","n2012","n2011","n2010","n2009","n2008","n2007"
22,"7600110000000017150115","1780","El Ingenio","El Ingenio",1.85746909294706,2,1.91898019463936,2,1.58516077445897,2,1.5644108592912,2,1.30773837107864,1,1.60851596625077,2,0.698977954284921,1,0,1,1,1,0,2,1,1,1,0,0
23,"7600110000000017030148","2296","Parcelaciones Pance","Ciudad Jardin",1.69853571921739,2,1.69616082300339,2,1.74709312048153,2,1.73516393590266,2,1.5762849134159,2,1.5649000857761,2,1.32775290428148,1,2,2,1,1,1,0,2,3,0,1,0
24,"7600110000000017030140","2296","Parcelaciones Pance","Ciudad Jardin",0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.254535698193037,0,0.123290149266519,0,0,0,0,0,0,0,1,2,3,1,0
25,"7600110000000017030139","2296","Parcelaciones Pance","Ciudad Jardin",0.388844456101939,0,0.20576483721392,0,0.249929668793272,0,0.422557730817497,0,0.197070059793857,0,0.825980318180817,1,0.37581933012912,0,0,1,0,0,0,0,3,1,0,0,2
26,"7600110000000017020127","2296","Parcelaciones Pance","Ciudad Jardin",0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.141925336244404,0,0.206800494521291,0,0.175540664631561,0,0.365413628053936,0,0,0,0,0,1,0,0,1,1,3,0
27,"7600110000000017020126","2296","Parcelaciones Pance","Ciudad Jardin",0.206800494521291,0,0.24903064434265,0,0.389828196388941,0,0.153721604008548,0,0.185613095872614,0,0.252608325760045,0,0.252608325760045,0,1,0,0,0,0,0,0,0,0,0,0
28,"7600110000000017020120","2296","Parcelaciones Pance","Ciudad Jardin",0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.129334897492952,0,0.144840862561423,0,0,0,0,0,0,0,0,0,1,0,0
29,"7600110000000017020109","2296","Parcelaciones Pance","Ciudad Jardin",0.389828196388941,0,0.129282984039709,0,0.356950131046902,0,0.327649630692148,0,0.467478901583895,0,0.808986624899387,1,0.431458434455211,0,0,0,1,0,0,1,1,1,0,0,0
30,"7600110000000017150214","1780","El Ingenio","El Ingenio",0.966265264777457,1,0.924522087514229,1,0.523509692895622,1,0.394402787974612,0,1.08922138370421,1,0.500203950514187,1,0.542380901534333,1,1,0,0,0,1,2,0,0,0,0,0
31,"7600110000000017070103","2296","Parcelaciones Pance","Ciudad Jardin",1.05428944495489,1,1.23052178422156,1,1.46825261404312,1,1.1982193357225,1,0.975511544803683,1,1.40859752779899,1,1.38303274488886,1,2,1,0,5,0,0,1,0,0,0,1
32,"7600110000000017070101","2296","Parcelaciones Pance","Ciudad Jardin",1.80819923326325,2,1.96189990484232,2,2.20392567684809,2,1.86685345712881,2,2.76077494091735,3,3.3022,3,1.83402553252146,2,2,1,4,3,2,6,3,2,4,6,5
33,"7600110000000017070105","2296","Parcelaciones Pance","Ciudad Jardin",1.72742460810628,2,1.72742460810628,2,1.57964672790598,2,1.86566417743247,2,1.68900484322346,2,1.80324662617558,2,1.7316820993391,2,2,2,2,0,1,1,1,1,0,4,1
34,"7600110000000017090307","2296","Parcelaciones Pance","Ciudad Jardin",1.16816749339556,1,0.79159308944438,1,1.09448642178495,1,1.00361777456065,1,0.794200508913124,1,0.89372795380426,1,0.526574072752393,1,1,0,0,3,2,0,0,0,0,1,1
35,"7600110000000017090306","2296","Parcelaciones Pance","Ciudad Jardin",0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.144840862561423,0,0.144840862561423,0,0,0,0,0,0,0,0,0,0,0,0
36,"7600110000000017090305","2296","Parcelaciones Pance","Ciudad Jardin",0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.144840862561423,0,0.144840862561423,0,0,0,0,0,0,0,0,0,0,0,0
37,"7600110000000017090303","2296","Parcelaciones Pance","Ciudad Jardin",0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.144840862561423,0,0.144840862561423,0,0,0,0,0,0,0,0,0,0,0,0
38,"7600110000000017090302","2296","Parcelaciones Pance","Ciudad Jardin",0.445732713226393,0,0.474303058937183,0,0.349457801623873,0,0.141735807102944,0,0.493959086926527,0,0.245700475481329,0,0.66330711026432,1,1,0,0,0,1,0,1,0,0,0,0
39,"7600110000000017030149","2296","Parcelaciones Pance","Ciudad Jardin",0.141925336244404,0,0.206800494521291,0,0.24903064434265,0,0.388844456101939,0,0.20576483721392,0,0.208625884827071,0,0.472003157455515,0,0,1,0,0,1,0,0,2,0,0,2
40,"7600110000000017090201","2201","Urbanizacion Ciudad Jardin","Ciudad Jardin",1.85309976448846,2,1.89782142090222,2,1.58182195566054,2,1.91450327207026,2,1.5172229347324,2,0.795919078404987,1,1.13842066107083,1,1,3,3,0,0,0,3,0,0,1,2
41,"7600110000000017090325","2296","Parcelaciones Pance","Ciudad Jardin",4.06290909090909,4,4.515,5,4.06167740008783,4,3.96899999999999,4,4.09444444444444,4,3.89333333333333,4,4.82813333333333,5,4,5,5,1,3,3,5,0,3,3,2
42,"7600110000000017090202","2201","Urbanizacion Ciudad Jardin","Ciudad Jardin",1.58328543037998,2,2.01931711730306,2,1.92157106077497,2,1.54851663064604,2,2.08736005084011,2,2.0587789809807,2,1.57387434187816,2,4,0,3,1,0,1,0,0,1,1,1
43,"7600110000000017090203","2201","Urbanizacion Ciudad Jardin","Ciudad Jardin",0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.144840862561423,0,0.144840862561423,0,0,0,0,0,0,0,0,0,0,0,0
44,"7600110000000017090205","2201","Urbanizacion Ciudad Jardin","Ciudad Jardin",0.715569723378093,1,0.370475532111589,0,0.771123918903766,1,0.550467654819517,1,1.03602318949491,1,1.41288328233204,1,0.294881635506974,0,1,0,0,1,0,2,0,0,0,1,1
45,"7600110000000017090204","2201","Urbanizacion Ciudad Jardin","Ciudad Jardin",0.924522087514229,1,0.529509692895622,1,0.394402787974612,0,0.647655815498704,1,1.07452321090649,1,1.16008778297173,1,0.836418532316388,1,0,0,0,1,0,2,1,0,3,0,0
46,"7600110000000017090207","2201","Urbanizacion Ciudad Jardin","Ciudad Jardin",0.161982730082017,0,0.141925336244404,0,0.206800494521291,0,0.24903064434265,0,0.389828196388941,0,0.149742622023541,0,0.389919128030324,0,0,0,1,0,0,0,0,0,0,0,1
47,"7600110000000017080308","2201","Urbanizacion Ciudad Jardin","Ciudad Jardin",0.206800494521291,0,0.24903064434265,0,0.389828196388941,0,0.153721604008548,0,0.147765471710809,0,0.413461068046585,0,0.254279874993716,0,1,0,0,0,0,1,0,0,0,0,0
48,"7600110000000017080310","2201","Urbanizacion Ciudad Jardin","Ciudad Jardin",0.161982730082017,0,0.161982730082017,0,0.141925336244404,0,0.206800494521291,0,0.24903064434265,0,0.389919128030324,0,0.13297919822916,0,0,0,0,1,0,0,0,0,0,0,1
49,"7600110000000017080220","2201","Urbanizacion Ciudad Jardin","Ciudad Jardin",0.161982730082017,0,0.141925336244404,0,0.206800494521291,0,0.24903064434265,0,0.389828196388941,0,0.149742622023541,0,0.389919128030324,0,0,0,1,0,0,0,0,0,0,0,0
50,"7600110000000017080221","2201","Urbanizacion Ciudad Jardin","Ciudad Jardin",0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.144840862561423,0,0.144840862561423,0,0,0,0,0,0,0,0,0,0,0,0
51,"7600110000000017080213","2201","Urbanizacion Ciudad Jardin","Ciudad Jardin",0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.144840862561423,0,0.144840862561423,0,0,0,0,0,0,0,0,0,0,0,0
52,"7600110000000017080215","2201","Urbanizacion Ciudad Jardin","Ciudad Jardin",0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.144840862561423,0,0.144840862561423,0,0,0,0,0,0,0,0,0,0,0,0
