"id","manz_ccnct","cod_barr","barrio","zona","y_pred21","y_pred21_red","y_pred20","y_pred20_red","y_pred19","y_pred19_red","y_pred18","y_pred18_red","n2017","n2016","n2015","n2014","n2013","n2012","n2011","n2010"
835,"7600110000000002130202","0212","La Flora","La Flora",0.122287126439157,0,0.122287126439157,0,0.115685174630154,0,0.115685174630154,0,0,0,0,0,0,0,0,0
836,"7600110000000002130306","0212","La Flora","La Flora",0.144564256289461,0,0.22802207753659,0,0.0995230640310927,0,0.236329455419144,0,0,0,0,1,0,0,1,0
837,"7600110000000002130305","0212","La Flora","La Flora",0.984138884089068,1,1.28110236983292,1,0.842938223940903,1,0.990339772582004,1,1,1,3,0,1,2,0,0
838,"7600110000000002130319","0212","La Flora","La Flora",0.672884671898376,1,0.556845203779649,1,0.553229498997343,1,0.687415206561404,1,0,1,1,2,1,0,0,1
839,"7600110000000002130216","0212","La Flora","La Flora",0.183180027753278,0,0.32770650951443,0,0.203667419140263,0,0.33144128075537,0,0,0,0,1,1,0,0,0
840,"7600110000000002130217","0212","La Flora","La Flora",0.292464092514074,0,0.564278821853988,1,0.528085425380701,1,0.716099467313886,1,0,1,0,0,0,0,1,2
841,"7600110000000002130301","0212","La Flora","La Flora",0.517615836680333,1,0.650959682923207,1,0.589766839695683,1,0.285455276574891,0,0,0,0,2,0,0,0,1
842,"7600110000000002130320","0212","La Flora","La Flora",0.32770650951443,0,0.200102089720486,0,0.312950931189239,0,0.167860569263834,0,0,0,1,1,0,1,0,0
843,"7600110000000002130304","0212","La Flora","La Flora",0.259000414766201,0,0.352783585328301,0,0.307666918603989,0,0.165704422149666,0,1,0,0,0,0,0,0,0
844,"7600110000000002130318","0212","La Flora","La Flora",1.61565799328876,2,1.21408366633366,1,0.948049561549561,1,2.0786834209273,2,1,0,4,0,3,2,0,2
845,"7600110000000002130408","0212","La Flora","La Flora",0.302426788795345,0,0.400069931493959,0,0.322245964738964,0,0.484156560195025,0,1,1,0,0,0,0,0,0
846,"7600110000000002130409","0212","La Flora","La Flora",0.122287126439157,0,0.17144355438528,0,0.115055754816565,0,0.244162654910363,0,0,0,0,0,0,1,0,0
847,"7600110000000002130410","0212","La Flora","La Flora",0.122287126439157,0,0.122287126439157,0,0.115685174630154,0,0.115685174630154,0,0,0,0,0,0,0,0,0
848,"7600110000000002140108","0213","La Campina","La Flora",1.57334883881829,2,1.06906905386561,1,1.3932708915371,1,1.87257430253782,2,1,2,4,2,2,2,2,2
849,"7600110000000002170218","0215","El Bosque","La Flora",0.944191976617795,1,1.26645542620532,1,0.882033933983358,1,1.19202877432621,1,2,1,1,3,1,0,1,1
850,"7600110000000002170119","0215","El Bosque","La Flora",0.122287126439157,0,0.17144355438528,0,0.115055754816565,0,0.244162654910363,0,0,0,0,0,0,1,0,0
