"zona","tot_manz","barrios","manz_est5","manz_est6"
"Ciudad Jardin",175,5,6,169
"El Ingenio",230,7,192,38
"El Lido",229,21,211,18
"La Flora",193,10,188,5
"La Hacienda",233,10,231,2
"Oeste",164,12,66,98
"Santa Monica",138,7,114,24
